2015-07-17 16:22:53,609 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-07-17 16:22:53,610 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-07-17 16:22:53,688 | INFO  | Recovery replayed 815 operations from the journal in 0.078 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-07-17 16:22:53,859 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:AUXIW7001F-52645-1437142973719-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2015-07-17 16:22:53,906 | INFO  | Listening for connections at: tcp://AUXIW7001F:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-07-17 16:22:53,906 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2015-07-17 16:22:53,922 | INFO  | Listening for connections at: amqp://AUXIW7001F:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-07-17 16:22:53,922 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2015-07-17 16:22:53,922 | INFO  | Listening for connections at: stomp://AUXIW7001F:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-07-17 16:22:53,937 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2015-07-17 16:22:53,937 | INFO  | Listening for connections at: mqtt://AUXIW7001F:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-07-17 16:22:53,937 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2015-07-17 16:22:54,109 | INFO  | Listening for connections at ws://AUXIW7001F:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2015-07-17 16:22:54,109 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2015-07-17 16:22:54,109 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:AUXIW7001F-52645-1437142973719-0:1) started | org.apache.activemq.broker.BrokerService | main
2015-07-17 16:22:54,109 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2015-07-17 16:22:54,358 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2015-07-17 16:22:54,405 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2015-07-17 16:22:54,608 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2015-07-17 17:57:15,424 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:AUXIW7001F-52645-1437142973719-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-24
2015-07-17 17:57:15,424 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-24
2015-07-17 17:57:15,424 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | Thread-24
2015-07-17 17:57:15,424 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | Thread-24
2015-07-17 17:57:15,424 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | Thread-24
2015-07-20 09:44:35,630 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6a024a67: startup date [Mon Jul 20 09:44:35 CEST 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2015-07-20 09:44:36,550 | INFO  | PListStore:[C:\DEV\JMS\apache-activemq-5.10.0\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2015-07-20 09:44:36,566 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\DEV\JMS\apache-activemq-5.10.0\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2015-07-20 09:44:36,940 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-07-20 09:44:36,956 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-07-20 09:44:37,018 | INFO  | Recovery replayed 1121 operations from the journal in 0.062 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-07-20 09:44:37,190 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:AUXIW7001F-60472-1437378277034-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2015-07-20 09:44:37,205 | INFO  | Listening for connections at: tcp://AUXIW7001F:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-07-20 09:44:37,205 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2015-07-20 09:44:37,205 | INFO  | Listening for connections at: amqp://AUXIW7001F:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-07-20 09:44:37,221 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2015-07-20 09:44:37,221 | INFO  | Listening for connections at: stomp://AUXIW7001F:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-07-20 09:44:37,221 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2015-07-20 09:44:37,237 | INFO  | Listening for connections at: mqtt://AUXIW7001F:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-07-20 09:44:37,237 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2015-07-20 09:44:37,471 | INFO  | Listening for connections at ws://AUXIW7001F:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2015-07-20 09:44:37,471 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2015-07-20 09:44:37,471 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:AUXIW7001F-60472-1437378277034-0:1) started | org.apache.activemq.broker.BrokerService | main
2015-07-20 09:44:37,471 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2015-07-20 09:44:37,920 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2015-07-20 09:44:38,014 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2015-07-20 09:44:38,513 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2015-07-20 10:15:58,003 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:AUXIW7001F-60472-1437378277034-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-23
2015-07-20 10:15:58,003 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-23
2015-07-20 10:15:58,003 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | Thread-23
2015-07-20 10:15:58,003 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | Thread-23
2015-07-20 10:15:58,003 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | Thread-23
2015-07-20 10:15:58,086 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | Thread-23
2015-07-20 10:15:58,139 | INFO  | PListStore:[C:\DEV\JMS\apache-activemq-5.10.0\data\localhost\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-23
2015-07-20 10:15:58,139 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-23
2015-07-20 10:15:58,139 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-23
2015-07-20 10:15:58,155 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-23
2015-07-20 10:15:58,389 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:AUXIW7001F-60472-1437378277034-0:1) uptime 31 minutes | org.apache.activemq.broker.BrokerService | Thread-23
2015-07-20 10:15:58,389 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:AUXIW7001F-60472-1437378277034-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-23
2015-07-20 10:15:58,389 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@6a024a67: startup date [Mon Jul 20 09:44:35 CEST 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-23
2015-07-20 10:15:58,404 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | Thread-23
2015-07-20 10:16:12,502 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6a024a67: startup date [Mon Jul 20 10:16:12 CEST 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2015-07-20 10:16:13,438 | INFO  | PListStore:[C:\DEV\JMS\apache-activemq-5.10.0\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2015-07-20 10:16:13,470 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\DEV\JMS\apache-activemq-5.10.0\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2015-07-20 10:16:13,750 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-07-20 10:16:13,766 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-07-20 10:16:13,797 | INFO  | Recovery replayed 373 operations from the journal in 0.047 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-07-20 10:16:13,938 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:AUXIW7001F-61137-1437380173813-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2015-07-20 10:16:13,953 | INFO  | Listening for connections at: tcp://AUXIW7001F:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-07-20 10:16:13,953 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2015-07-20 10:16:13,969 | INFO  | Listening for connections at: amqp://AUXIW7001F:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-07-20 10:16:13,969 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2015-07-20 10:16:13,969 | INFO  | Listening for connections at: stomp://AUXIW7001F:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-07-20 10:16:13,984 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2015-07-20 10:16:13,984 | INFO  | Listening for connections at: mqtt://AUXIW7001F:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-07-20 10:16:13,984 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2015-07-20 10:16:14,203 | INFO  | Listening for connections at ws://AUXIW7001F:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2015-07-20 10:16:14,203 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2015-07-20 10:16:14,218 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:AUXIW7001F-61137-1437380173813-0:1) started | org.apache.activemq.broker.BrokerService | main
2015-07-20 10:16:14,218 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2015-07-20 10:16:14,546 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2015-07-20 10:16:14,608 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2015-07-20 10:16:14,920 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2015-07-20 10:20:54,053 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:AUXIW7001F-61137-1437380173813-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2015-07-20 10:20:54,053 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-07-20 10:20:54,053 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-07-20 10:20:54,053 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-07-20 10:20:54,053 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-07-20 10:20:54,151 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-07-20 10:20:54,151 | INFO  | PListStore:[C:\DEV\JMS\apache-activemq-5.10.0\data\localhost\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2015-07-20 10:20:54,151 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2015-07-20 10:20:54,151 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2015-07-20 10:20:54,151 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2015-07-20 10:20:54,541 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:AUXIW7001F-61137-1437380173813-0:1) uptime 4 minutes | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2015-07-20 10:20:54,541 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:AUXIW7001F-61137-1437380173813-0:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2015-07-20 10:20:54,541 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@6a024a67: startup date [Mon Jul 20 10:16:12 CEST 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | ActiveMQ ShutdownHook
2015-07-20 10:20:54,572 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | ActiveMQ ShutdownHook
2015-07-20 10:21:14,711 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6a024a67: startup date [Mon Jul 20 10:21:14 CEST 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2015-07-20 10:21:14,977 | ERROR | Failed to load: class path resource [activemq.xml], reason: Line 83 in XML document from class path resource [activemq.xml] is invalid; nested exception is org.xml.sax.SAXParseException; lineNumber: 83; columnNumber: 33; cvc-complex-type.2.4.d : Contenu non valide trouvé à partir de l'élément 'filteredPersistenceAdapters'. Aucun élément enfant n'est attendu à cet endroit. | org.apache.activemq.xbean.XBeanBrokerFactory | main
org.springframework.beans.factory.xml.XmlBeanDefinitionStoreException: Line 83 in XML document from class path resource [activemq.xml] is invalid; nested exception is org.xml.sax.SAXParseException; lineNumber: 83; columnNumber: 33; cvc-complex-type.2.4.d : Contenu non valide trouvé à partir de l'élément 'filteredPersistenceAdapters'. Aucun élément enfant n'est attendu à cet endroit.
	at org.springframework.beans.factory.xml.XmlBeanDefinitionReader.doLoadBeanDefinitions(XmlBeanDefinitionReader.java:396)[spring-beans-3.2.8.RELEASE.jar:3.2.8.RELEASE]
	at org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(XmlBeanDefinitionReader.java:334)[spring-beans-3.2.8.RELEASE.jar:3.2.8.RELEASE]
	at org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(XmlBeanDefinitionReader.java:302)[spring-beans-3.2.8.RELEASE.jar:3.2.8.RELEASE]
	at org.apache.xbean.spring.context.ResourceXmlApplicationContext.loadBeanDefinitions(ResourceXmlApplicationContext.java:111)[xbean-spring-3.16.jar:3.16]
	at org.apache.xbean.spring.context.ResourceXmlApplicationContext.loadBeanDefinitions(ResourceXmlApplicationContext.java:104)[xbean-spring-3.16.jar:3.16]
	at org.springframework.context.support.AbstractRefreshableApplicationContext.refreshBeanFactory(AbstractRefreshableApplicationContext.java:130)[spring-context-3.2.8.RELEASE.jar:3.2.8.RELEASE]
	at org.springframework.context.support.AbstractApplicationContext.obtainFreshBeanFactory(AbstractApplicationContext.java:537)[spring-context-3.2.8.RELEASE.jar:3.2.8.RELEASE]
	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:451)[spring-context-3.2.8.RELEASE.jar:3.2.8.RELEASE]
	at org.apache.xbean.spring.context.ResourceXmlApplicationContext.<init>(ResourceXmlApplicationContext.java:64)[xbean-spring-3.16.jar:3.16]
	at org.apache.xbean.spring.context.ResourceXmlApplicationContext.<init>(ResourceXmlApplicationContext.java:52)[xbean-spring-3.16.jar:3.16]
	at org.apache.activemq.xbean.XBeanBrokerFactory$1.<init>(XBeanBrokerFactory.java:104)[activemq-spring-5.10.0.jar:5.10.0]
	at org.apache.activemq.xbean.XBeanBrokerFactory.createApplicationContext(XBeanBrokerFactory.java:104)[activemq-spring-5.10.0.jar:5.10.0]
	at org.apache.activemq.xbean.XBeanBrokerFactory.createBroker(XBeanBrokerFactory.java:67)[activemq-spring-5.10.0.jar:5.10.0]
	at org.apache.activemq.broker.BrokerFactory.createBroker(BrokerFactory.java:71)[activemq-broker-5.10.0.jar:5.10.0]
	at org.apache.activemq.broker.BrokerFactory.createBroker(BrokerFactory.java:54)[activemq-broker-5.10.0.jar:5.10.0]
	at org.apache.activemq.console.command.StartCommand.runTask(StartCommand.java:87)[activemq-console-5.10.0.jar:5.10.0]
	at org.apache.activemq.console.command.AbstractCommand.execute(AbstractCommand.java:57)[activemq-console-5.10.0.jar:5.10.0]
	at org.apache.activemq.console.command.ShellCommand.runTask(ShellCommand.java:150)[activemq-console-5.10.0.jar:5.10.0]
	at org.apache.activemq.console.command.AbstractCommand.execute(AbstractCommand.java:57)[activemq-console-5.10.0.jar:5.10.0]
	at org.apache.activemq.console.command.ShellCommand.main(ShellCommand.java:104)[activemq-console-5.10.0.jar:5.10.0]
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)[:1.8.0_40]
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)[:1.8.0_40]
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)[:1.8.0_40]
	at java.lang.reflect.Method.invoke(Method.java:497)[:1.8.0_40]
	at org.apache.activemq.console.Main.runTaskClass(Main.java:262)[activemq.jar:5.10.0]
	at org.apache.activemq.console.Main.main(Main.java:115)[activemq.jar:5.10.0]
2015-07-20 10:22:09,027 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6a024a67: startup date [Mon Jul 20 10:22:09 CEST 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
